"date_time","forecast","day_of_week","hour","is_holiday"
"2018-10-03 04:00:00",404.6,"Wednesday",4,0
"2018-10-03 05:00:00",429.2,"Wednesday",5,0
"2018-10-03 06:00:00",806.5,"Wednesday",6,0
"2018-10-03 07:00:00",1283.2,"Wednesday",7,0
"2018-10-03 08:00:00",1815.2,"Wednesday",8,0
"2018-10-03 09:00:00",2495.3,"Wednesday",9,0
"2018-10-03 10:00:00",3090.5,"Wednesday",10,0
"2018-10-03 11:00:00",3528.3,"Wednesday",11,0
"2018-10-03 12:00:00",3891.8,"Wednesday",12,0
"2018-10-03 13:00:00",4162.1,"Wednesday",13,0
"2018-10-03 14:00:00",4255.8,"Wednesday",14,0
"2018-10-03 15:00:00",4306.1,"Wednesday",15,0
"2018-10-03 16:00:00",4384.3,"Wednesday",16,0
"2018-10-03 17:00:00",4461.4,"Wednesday",17,0
"2018-10-03 18:00:00",4280.6,"Wednesday",18,0
"2018-10-03 19:00:00",3862.6,"Wednesday",19,0
"2018-10-03 20:00:00",3256.9,"Wednesday",20,0
"2018-10-03 21:00:00",2678.5,"Wednesday",21,0
"2018-10-03 22:00:00",2127.1,"Wednesday",22,0
"2018-10-03 23:00:00",1620.8,"Wednesday",23,0
"2018-10-04 00:00:00",1088.8,"Thursday",0,0
"2018-10-04 01:00:00",674.8,"Thursday",1,0
"2018-10-04 02:00:00",478.4,"Thursday",2,0
"2018-10-04 03:00:00",408.1,"Thursday",3,0
"2018-10-04 04:00:00",437.6,"Thursday",4,0
"2018-10-04 05:00:00",713,"Thursday",5,0
"2018-10-04 06:00:00",1564.6,"Thursday",6,0
"2018-10-04 07:00:00",2252.1,"Thursday",7,0
"2018-10-04 08:00:00",2810.7,"Thursday",8,0
"2018-10-04 09:00:00",2943.3,"Thursday",9,0
"2018-10-04 10:00:00",3171.7,"Thursday",10,0
"2018-10-04 11:00:00",3608.1,"Thursday",11,0
"2018-10-04 12:00:00",3971.9,"Thursday",12,0
"2018-10-04 13:00:00",4137.5,"Thursday",13,0
"2018-10-04 14:00:00",4220.7,"Thursday",14,0
"2018-10-04 15:00:00",4327.1,"Thursday",15,0
"2018-10-04 16:00:00",4489.6,"Thursday",16,0
"2018-10-04 17:00:00",4594.7,"Thursday",17,0
"2018-10-04 18:00:00",4072.4,"Thursday",18,0
"2018-10-04 19:00:00",3244.5,"Thursday",19,0
"2018-10-04 20:00:00",2749.5,"Thursday",20,0
"2018-10-04 21:00:00",2359,"Thursday",21,0
"2018-10-04 22:00:00",1894.2,"Thursday",22,0
"2018-10-04 23:00:00",1190.8,"Thursday",23,0
"2018-10-05 00:00:00",679,"Friday",0,0
"2018-10-05 01:00:00",528.8,"Friday",1,0
"2018-10-05 02:00:00",441.3,"Friday",2,0
"2018-10-05 03:00:00",472.6,"Friday",3,0
"2018-10-05 04:00:00",742.2,"Friday",4,0
"2018-10-05 05:00:00",1875.5,"Friday",5,0
"2018-10-05 06:00:00",4023.6,"Friday",6,0
"2018-10-05 07:00:00",5171.6,"Friday",7,0
"2018-10-05 08:00:00",4676.8,"Friday",8,0
"2018-10-05 09:00:00",4478,"Friday",9,0
"2018-10-05 10:00:00",3941.2,"Friday",10,0
"2018-10-05 11:00:00",3967.9,"Friday",11,0
"2018-10-05 12:00:00",4151.6,"Friday",12,0
"2018-10-05 13:00:00",4172.7,"Friday",13,0
"2018-10-05 14:00:00",4328.9,"Friday",14,0
"2018-10-05 15:00:00",4705.2,"Friday",15,0
"2018-10-05 16:00:00",5492.1,"Friday",16,0
"2018-10-05 17:00:00",5757.9,"Friday",17,0
"2018-10-05 18:00:00",4532.5,"Friday",18,0
"2018-10-05 19:00:00",3356.3,"Friday",19,0
"2018-10-05 20:00:00",2746,"Friday",20,0
"2018-10-05 21:00:00",2470.1,"Friday",21,0
"2018-10-05 22:00:00",2102.7,"Friday",22,0
"2018-10-05 23:00:00",1529,"Friday",23,0
"2018-10-06 00:00:00",839.5,"Saturday",0,0
"2018-10-06 01:00:00",583.1,"Saturday",1,0
"2018-10-06 02:00:00",474.4,"Saturday",2,0
"2018-10-06 03:00:00",429.4,"Saturday",3,0
"2018-10-06 04:00:00",543.4,"Saturday",4,0
"2018-10-06 05:00:00",1070,"Saturday",5,0
"2018-10-06 06:00:00",2527.2,"Saturday",6,0
"2018-10-06 07:00:00",4199.2,"Saturday",7,0
"2018-10-06 08:00:00",4571.1,"Saturday",8,0
"2018-10-06 09:00:00",4234,"Saturday",9,0
"2018-10-06 10:00:00",4032.8,"Saturday",10,0
"2018-10-06 11:00:00",3869.2,"Saturday",11,0
"2018-10-06 12:00:00",4039.8,"Saturday",12,0
"2018-10-06 13:00:00",4104.3,"Saturday",13,0
"2018-10-06 14:00:00",4181.8,"Saturday",14,0
"2018-10-06 15:00:00",4448,"Saturday",15,0
"2018-10-06 16:00:00",4876,"Saturday",16,0
"2018-10-06 17:00:00",5296.1,"Saturday",17,0
"2018-10-06 18:00:00",4339.7,"Saturday",18,0
"2018-10-06 19:00:00",3283.3,"Saturday",19,0
"2018-10-06 20:00:00",2784.8,"Saturday",20,0
"2018-10-06 21:00:00",2463.8,"Saturday",21,0
"2018-10-06 22:00:00",2057.8,"Saturday",22,0
"2018-10-06 23:00:00",1564.8,"Saturday",23,0
"2018-10-07 00:00:00",1034.1,"Sunday",0,0
"2018-10-07 01:00:00",700.6,"Sunday",1,0
"2018-10-07 02:00:00",537.4,"Sunday",2,0
"2018-10-07 03:00:00",437.4,"Sunday",3,0
"2018-10-07 04:00:00",452.8,"Sunday",4,0
"2018-10-07 05:00:00",622.6,"Sunday",5,0
"2018-10-07 06:00:00",1171.6,"Sunday",6,0
"2018-10-07 07:00:00",1612.7,"Sunday",7,0
"2018-10-07 08:00:00",2195.5,"Sunday",8,0
"2018-10-07 09:00:00",2795.1,"Sunday",9,0
"2018-10-07 10:00:00",3282.7,"Sunday",10,0
"2018-10-07 11:00:00",3685.3,"Sunday",11,0
"2018-10-07 12:00:00",4013.3,"Sunday",12,0
"2018-10-07 13:00:00",4194.9,"Sunday",13,0
"2018-10-07 14:00:00",4250.5,"Sunday",14,0
"2018-10-07 15:00:00",4330,"Sunday",15,0
"2018-10-07 16:00:00",4430.3,"Sunday",16,0
"2018-10-07 17:00:00",4409.8,"Sunday",17,0
"2018-10-07 18:00:00",4104.9,"Sunday",18,0
"2018-10-07 19:00:00",3522.1,"Sunday",19,0
"2018-10-07 20:00:00",2903.4,"Sunday",20,0
"2018-10-07 21:00:00",2356.4,"Sunday",21,0
"2018-10-07 22:00:00",1829.6,"Sunday",22,0
"2018-10-07 23:00:00",1327.4,"Sunday",23,0
