"date_time","forecast","is_holiday","hour","day_of_week"
"2018-10-04 21:00:00",2635,0,21,"Thursday"
"2018-10-04 22:00:00",2116,0,22,"Thursday"
"2018-10-04 23:00:00",1296,0,23,"Thursday"
"2018-10-05 00:00:00",711,0,0,"Friday"
"2018-10-05 01:00:00",412,0,1,"Friday"
"2018-10-05 02:00:00",301,0,2,"Friday"
"2018-10-05 03:00:00",373,0,3,"Friday"
"2018-10-05 04:00:00",784,0,4,"Friday"
"2018-10-05 05:00:00",2358,0,5,"Friday"
"2018-10-05 06:00:00",4470,0,6,"Friday"
"2018-10-05 07:00:00",5346,0,7,"Friday"
"2018-10-05 08:00:00",5053,0,8,"Friday"
"2018-10-05 09:00:00",4572,0,9,"Friday"
"2018-10-05 10:00:00",4351,0,10,"Friday"
"2018-10-05 11:00:00",4419,0,11,"Friday"
"2018-10-05 12:00:00",4557,0,12,"Friday"
"2018-10-05 13:00:00",4690,0,13,"Friday"
"2018-10-05 14:00:00",4885,0,14,"Friday"
"2018-10-05 15:00:00",5236,0,15,"Friday"
"2018-10-05 16:00:00",5597,0,16,"Friday"
"2018-10-05 17:00:00",5134,0,17,"Friday"
"2018-10-05 18:00:00",4189,0,18,"Friday"
"2018-10-05 19:00:00",3278,0,19,"Friday"
"2018-10-05 20:00:00",2877,0,20,"Friday"
"2018-10-05 21:00:00",2814,0,21,"Friday"
"2018-10-05 22:00:00",2585,0,22,"Friday"
"2018-10-05 23:00:00",1938,0,23,"Friday"
"2018-10-06 00:00:00",1169,0,0,"Saturday"
"2018-10-06 01:00:00",702,0,1,"Saturday"
"2018-10-06 02:00:00",442,0,2,"Saturday"
"2018-10-06 03:00:00",351,0,3,"Saturday"
"2018-10-06 04:00:00",389,0,4,"Saturday"
"2018-10-06 05:00:00",624,0,5,"Saturday"
"2018-10-06 06:00:00",1022,0,6,"Saturday"
"2018-10-06 07:00:00",1532,0,7,"Saturday"
"2018-10-06 08:00:00",2167,0,8,"Saturday"
"2018-10-06 09:00:00",2910,0,9,"Saturday"
"2018-10-06 10:00:00",3537,0,10,"Saturday"
"2018-10-06 11:00:00",3982,0,11,"Saturday"
"2018-10-06 12:00:00",4259,0,12,"Saturday"
"2018-10-06 13:00:00",4355,0,13,"Saturday"
"2018-10-06 14:00:00",4350,0,14,"Saturday"
"2018-10-06 15:00:00",4298,0,15,"Saturday"
"2018-10-06 16:00:00",4250,0,16,"Saturday"
"2018-10-06 17:00:00",4057,0,17,"Saturday"
"2018-10-06 18:00:00",3773,0,18,"Saturday"
"2018-10-06 19:00:00",3248,0,19,"Saturday"
"2018-10-06 20:00:00",3000,0,20,"Saturday"
"2018-10-06 21:00:00",2911,0,21,"Saturday"
"2018-10-06 22:00:00",2599,0,22,"Saturday"
"2018-10-06 23:00:00",1994,0,23,"Saturday"
"2018-10-07 00:00:00",1280,0,0,"Sunday"
"2018-10-07 01:00:00",760,0,1,"Sunday"
"2018-10-07 02:00:00",460,0,2,"Sunday"
"2018-10-07 03:00:00",302,0,3,"Sunday"
"2018-10-07 04:00:00",306,0,4,"Sunday"
"2018-10-07 05:00:00",429,0,5,"Sunday"
"2018-10-07 06:00:00",767,0,6,"Sunday"
"2018-10-07 07:00:00",1211,0,7,"Sunday"
"2018-10-07 08:00:00",1794,0,8,"Sunday"
"2018-10-07 09:00:00",2533,0,9,"Sunday"
"2018-10-07 10:00:00",3222,0,10,"Sunday"
"2018-10-07 11:00:00",3733,0,11,"Sunday"
"2018-10-07 12:00:00",4061,0,12,"Sunday"
"2018-10-07 13:00:00",4201,0,13,"Sunday"
"2018-10-07 14:00:00",4221,0,14,"Sunday"
"2018-10-07 15:00:00",4192,0,15,"Sunday"
"2018-10-07 16:00:00",4136,0,16,"Sunday"
"2018-10-07 17:00:00",3931,0,17,"Sunday"
"2018-10-07 18:00:00",3455,0,18,"Sunday"
"2018-10-07 19:00:00",2925,0,19,"Sunday"
"2018-10-07 20:00:00",2568,0,20,"Sunday"
"2018-10-07 21:00:00",2201,0,21,"Sunday"
"2018-10-07 22:00:00",1624,0,22,"Sunday"
"2018-10-07 23:00:00",1022,0,23,"Sunday"
"2018-10-08 00:00:00",581,1,0,"Monday"
"2018-10-08 01:00:00",321,1,1,"Monday"
"2018-10-08 02:00:00",144,1,2,"Monday"
"2018-10-08 03:00:00",190,1,3,"Monday"
"2018-10-08 04:00:00",371,1,4,"Monday"
"2018-10-08 05:00:00",902,1,5,"Monday"
"2018-10-08 06:00:00",1385,1,6,"Monday"
"2018-10-08 07:00:00",1580,1,7,"Monday"
"2018-10-08 08:00:00",1611,1,8,"Monday"
"2018-10-08 09:00:00",1694,1,9,"Monday"
"2018-10-08 10:00:00",1886,1,10,"Monday"
"2018-10-08 11:00:00",2139,1,11,"Monday"
"2018-10-08 12:00:00",2431,1,12,"Monday"
"2018-10-08 13:00:00",2729,1,13,"Monday"
"2018-10-08 14:00:00",2970,1,14,"Monday"
"2018-10-08 15:00:00",3078,1,15,"Monday"
"2018-10-08 16:00:00",3026,1,16,"Monday"
"2018-10-08 17:00:00",2811,1,17,"Monday"
"2018-10-08 18:00:00",2557,1,18,"Monday"
"2018-10-08 19:00:00",2391,1,19,"Monday"
"2018-10-08 20:00:00",2240,1,20,"Monday"
"2018-10-08 21:00:00",1949,1,21,"Monday"
"2018-10-08 22:00:00",1434,1,22,"Monday"
"2018-10-08 23:00:00",867,1,23,"Monday"
"2018-10-09 00:00:00",388,0,0,"Tuesday"
"2018-10-09 01:00:00",149,0,1,"Tuesday"
"2018-10-09 02:00:00",110,0,2,"Tuesday"
"2018-10-09 03:00:00",249,0,3,"Tuesday"
"2018-10-09 04:00:00",734,0,4,"Tuesday"
"2018-10-09 05:00:00",2352,0,5,"Tuesday"
"2018-10-09 06:00:00",4513,0,6,"Tuesday"
"2018-10-09 07:00:00",5258,0,7,"Tuesday"
"2018-10-09 08:00:00",5016,0,8,"Tuesday"
"2018-10-09 09:00:00",4544,0,9,"Tuesday"
"2018-10-09 10:00:00",4093,0,10,"Tuesday"
"2018-10-09 11:00:00",4064,0,11,"Tuesday"
"2018-10-09 12:00:00",4182,0,12,"Tuesday"
"2018-10-09 13:00:00",4266,0,13,"Tuesday"
"2018-10-09 14:00:00",4544,0,14,"Tuesday"
"2018-10-09 15:00:00",5087,0,15,"Tuesday"
"2018-10-09 16:00:00",5733,0,16,"Tuesday"
"2018-10-09 17:00:00",5255,0,17,"Tuesday"
"2018-10-09 18:00:00",3891,0,18,"Tuesday"
"2018-10-09 19:00:00",2884,0,19,"Tuesday"
"2018-10-09 20:00:00",2480,0,20,"Tuesday"
"2018-10-09 21:00:00",2169,0,21,"Tuesday"
"2018-10-09 22:00:00",1564,0,22,"Tuesday"
"2018-10-09 23:00:00",913,0,23,"Tuesday"
"2018-10-10 00:00:00",479,0,0,"Wednesday"
"2018-10-10 01:00:00",283,0,1,"Wednesday"
"2018-10-10 02:00:00",206,0,2,"Wednesday"
"2018-10-10 03:00:00",308,0,3,"Wednesday"
"2018-10-10 04:00:00",795,0,4,"Wednesday"
"2018-10-10 05:00:00",2589,0,5,"Wednesday"
"2018-10-10 06:00:00",5018,0,6,"Wednesday"
"2018-10-10 07:00:00",5640,0,7,"Wednesday"
"2018-10-10 08:00:00",5316,0,8,"Wednesday"
"2018-10-10 09:00:00",4808,0,9,"Wednesday"
"2018-10-10 10:00:00",4273,0,10,"Wednesday"
"2018-10-10 11:00:00",4266,0,11,"Wednesday"
"2018-10-10 12:00:00",4373,0,12,"Wednesday"
"2018-10-10 13:00:00",4449,0,13,"Wednesday"
"2018-10-10 14:00:00",4683,0,14,"Wednesday"
"2018-10-10 15:00:00",5205,0,15,"Wednesday"
"2018-10-10 16:00:00",5927,0,16,"Wednesday"
"2018-10-10 17:00:00",5464,0,17,"Wednesday"
"2018-10-10 18:00:00",4102,0,18,"Wednesday"
"2018-10-10 19:00:00",3023,0,19,"Wednesday"
"2018-10-10 20:00:00",2611,0,20,"Wednesday"
"2018-10-10 21:00:00",2422,0,21,"Wednesday"
"2018-10-10 22:00:00",1848,0,22,"Wednesday"
"2018-10-10 23:00:00",1085,0,23,"Wednesday"
"2018-10-11 00:00:00",566,0,0,"Thursday"
"2018-10-11 01:00:00",332,0,1,"Thursday"
"2018-10-11 02:00:00",245,0,2,"Thursday"
"2018-10-11 03:00:00",334,0,3,"Thursday"
"2018-10-11 04:00:00",798,0,4,"Thursday"
"2018-10-11 05:00:00",2626,0,5,"Thursday"
"2018-10-11 06:00:00",5097,0,6,"Thursday"
"2018-10-11 07:00:00",5704,0,7,"Thursday"
"2018-10-11 08:00:00",5321,0,8,"Thursday"
"2018-10-11 09:00:00",4765,0,9,"Thursday"
"2018-10-11 10:00:00",4369,0,10,"Thursday"
"2018-10-11 11:00:00",4401,0,11,"Thursday"
"2018-10-11 12:00:00",4509,0,12,"Thursday"
"2018-10-11 13:00:00",4601,0,13,"Thursday"
"2018-10-11 14:00:00",4815,0,14,"Thursday"
"2018-10-11 15:00:00",5287,0,15,"Thursday"
"2018-10-11 16:00:00",5944,0,16,"Thursday"
"2018-10-11 17:00:00",5505,0,17,"Thursday"
"2018-10-11 18:00:00",4239,0,18,"Thursday"
"2018-10-11 19:00:00",3146,0,19,"Thursday"
"2018-10-11 20:00:00",2748,0,20,"Thursday"
"2018-10-11 21:00:00",2631,0,21,"Thursday"
"2018-10-11 22:00:00",2113,0,22,"Thursday"
"2018-10-11 23:00:00",1295,0,23,"Thursday"
"2018-10-12 00:00:00",710,0,0,"Friday"
"2018-10-12 01:00:00",412,0,1,"Friday"
"2018-10-12 02:00:00",301,0,2,"Friday"
"2018-10-12 03:00:00",373,0,3,"Friday"
"2018-10-12 04:00:00",783,0,4,"Friday"
"2018-10-12 05:00:00",2354,0,5,"Friday"
"2018-10-12 06:00:00",4461,0,6,"Friday"
"2018-10-12 07:00:00",5340,0,7,"Friday"
"2018-10-12 08:00:00",5049,0,8,"Friday"
"2018-10-12 09:00:00",4570,0,9,"Friday"
"2018-10-12 10:00:00",4349,0,10,"Friday"
"2018-10-12 11:00:00",4417,0,11,"Friday"
"2018-10-12 12:00:00",4555,0,12,"Friday"
"2018-10-12 13:00:00",4688,0,13,"Friday"
"2018-10-12 14:00:00",4882,0,14,"Friday"
"2018-10-12 15:00:00",5233,0,15,"Friday"
"2018-10-12 16:00:00",5594,0,16,"Friday"
"2018-10-12 17:00:00",5131,0,17,"Friday"
"2018-10-12 18:00:00",4188,0,18,"Friday"
"2018-10-12 19:00:00",3277,0,19,"Friday"
"2018-10-12 20:00:00",2876,0,20,"Friday"
"2018-10-12 21:00:00",2813,0,21,"Friday"
"2018-10-12 22:00:00",2584,0,22,"Friday"
"2018-10-12 23:00:00",1938,0,23,"Friday"
"2018-10-13 00:00:00",1169,0,0,"Saturday"
"2018-10-13 01:00:00",702,0,1,"Saturday"
"2018-10-13 02:00:00",442,0,2,"Saturday"
"2018-10-13 03:00:00",351,0,3,"Saturday"
"2018-10-13 04:00:00",389,0,4,"Saturday"
"2018-10-13 05:00:00",623,0,5,"Saturday"
"2018-10-13 06:00:00",1021,0,6,"Saturday"
"2018-10-13 07:00:00",1531,0,7,"Saturday"
"2018-10-13 08:00:00",2165,0,8,"Saturday"
"2018-10-13 09:00:00",2908,0,9,"Saturday"
"2018-10-13 10:00:00",3535,0,10,"Saturday"
"2018-10-13 11:00:00",3980,0,11,"Saturday"
"2018-10-13 12:00:00",4258,0,12,"Saturday"
"2018-10-13 13:00:00",4354,0,13,"Saturday"
"2018-10-13 14:00:00",4349,0,14,"Saturday"
"2018-10-13 15:00:00",4297,0,15,"Saturday"
"2018-10-13 16:00:00",4249,0,16,"Saturday"
"2018-10-13 17:00:00",4056,0,17,"Saturday"
"2018-10-13 18:00:00",3772,0,18,"Saturday"
"2018-10-13 19:00:00",3247,0,19,"Saturday"
"2018-10-13 20:00:00",3000,0,20,"Saturday"
"2018-10-13 21:00:00",2911,0,21,"Saturday"
"2018-10-13 22:00:00",2599,0,22,"Saturday"
"2018-10-13 23:00:00",1994,0,23,"Saturday"
"2018-10-14 00:00:00",1280,0,0,"Sunday"
"2018-10-14 01:00:00",760,0,1,"Sunday"
"2018-10-14 02:00:00",459,0,2,"Sunday"
"2018-10-14 03:00:00",302,0,3,"Sunday"
"2018-10-14 04:00:00",306,0,4,"Sunday"
"2018-10-14 05:00:00",429,0,5,"Sunday"
"2018-10-14 06:00:00",767,0,6,"Sunday"
"2018-10-14 07:00:00",1211,0,7,"Sunday"
"2018-10-14 08:00:00",1794,0,8,"Sunday"
"2018-10-14 09:00:00",2533,0,9,"Sunday"
"2018-10-14 10:00:00",3222,0,10,"Sunday"
"2018-10-14 11:00:00",3733,0,11,"Sunday"
"2018-10-14 12:00:00",4061,0,12,"Sunday"
"2018-10-14 13:00:00",4201,0,13,"Sunday"
"2018-10-14 14:00:00",4220,0,14,"Sunday"
"2018-10-14 15:00:00",4192,0,15,"Sunday"
"2018-10-14 16:00:00",4136,0,16,"Sunday"
"2018-10-14 17:00:00",3930,0,17,"Sunday"
"2018-10-14 18:00:00",3455,0,18,"Sunday"
"2018-10-14 19:00:00",2925,0,19,"Sunday"
"2018-10-14 20:00:00",2568,0,20,"Sunday"
"2018-10-14 21:00:00",2201,0,21,"Sunday"
"2018-10-14 22:00:00",1624,0,22,"Sunday"
"2018-10-14 23:00:00",1022,0,23,"Sunday"
"2018-10-15 00:00:00",581,0,0,"Monday"
"2018-10-15 01:00:00",311,0,1,"Monday"
"2018-10-15 02:00:00",205,0,2,"Monday"
"2018-10-15 03:00:00",297,0,3,"Monday"
"2018-10-15 04:00:00",773,0,4,"Monday"
"2018-10-15 05:00:00",2459,0,5,"Monday"
"2018-10-15 06:00:00",4762,0,6,"Monday"
"2018-10-15 07:00:00",5486,0,7,"Monday"
"2018-10-15 08:00:00",5103,0,8,"Monday"
"2018-10-15 09:00:00",4490,0,9,"Monday"
"2018-10-15 10:00:00",4061,0,10,"Monday"
"2018-10-15 11:00:00",4081,0,11,"Monday"
"2018-10-15 12:00:00",4235,0,12,"Monday"
"2018-10-15 13:00:00",4324,0,13,"Monday"
"2018-10-15 14:00:00",4596,0,14,"Monday"
"2018-10-15 15:00:00",5111,0,15,"Monday"
"2018-10-15 16:00:00",5678,0,16,"Monday"
"2018-10-15 17:00:00",5124,0,17,"Monday"
"2018-10-15 18:00:00",3778,0,18,"Monday"
"2018-10-15 19:00:00",2783,0,19,"Monday"
"2018-10-15 20:00:00",2405,0,20,"Monday"
"2018-10-15 21:00:00",2066,0,21,"Monday"
"2018-10-15 22:00:00",1495,0,22,"Monday"
"2018-10-15 23:00:00",916,0,23,"Monday"
"2018-10-16 00:00:00",492,0,0,"Tuesday"
"2018-10-16 01:00:00",271,0,1,"Tuesday"
"2018-10-16 02:00:00",181,0,2,"Tuesday"
"2018-10-16 03:00:00",288,0,3,"Tuesday"
"2018-10-16 04:00:00",821,0,4,"Tuesday"
"2018-10-16 05:00:00",2713,0,5,"Tuesday"
"2018-10-16 06:00:00",5160,0,6,"Tuesday"
"2018-10-16 07:00:00",5737,0,7,"Tuesday"
"2018-10-16 08:00:00",5342,0,8,"Tuesday"
"2018-10-16 09:00:00",4757,0,9,"Tuesday"
"2018-10-16 10:00:00",4227,0,10,"Tuesday"
"2018-10-16 11:00:00",4205,0,11,"Tuesday"
"2018-10-16 12:00:00",4334,0,12,"Tuesday"
"2018-10-16 13:00:00",4414,0,13,"Tuesday"
"2018-10-16 14:00:00",4681,0,14,"Tuesday"
"2018-10-16 15:00:00",5236,0,15,"Tuesday"
"2018-10-16 16:00:00",5928,0,16,"Tuesday"
"2018-10-16 17:00:00",5420,0,17,"Tuesday"
"2018-10-16 18:00:00",3984,0,18,"Tuesday"
"2018-10-16 19:00:00",2928,0,19,"Tuesday"
"2018-10-16 20:00:00",2519,0,20,"Tuesday"
"2018-10-16 21:00:00",2228,0,21,"Tuesday"
"2018-10-16 22:00:00",1620,0,22,"Tuesday"
"2018-10-16 23:00:00",946,0,23,"Tuesday"
"2018-10-17 00:00:00",493,0,0,"Wednesday"
"2018-10-17 01:00:00",288,0,1,"Wednesday"
"2018-10-17 02:00:00",205,0,2,"Wednesday"
"2018-10-17 03:00:00",303,0,3,"Wednesday"
"2018-10-17 04:00:00",787,0,4,"Wednesday"
"2018-10-17 05:00:00",2605,0,5,"Wednesday"
"2018-10-17 06:00:00",5099,0,6,"Wednesday"
"2018-10-17 07:00:00",5721,0,7,"Wednesday"
"2018-10-17 08:00:00",5378,0,8,"Wednesday"
"2018-10-17 09:00:00",4856,0,9,"Wednesday"
"2018-10-17 10:00:00",4299,0,10,"Wednesday"
"2018-10-17 11:00:00",4291,0,11,"Wednesday"
"2018-10-17 12:00:00",4402,0,12,"Wednesday"
"2018-10-17 13:00:00",4480,0,13,"Wednesday"
"2018-10-17 14:00:00",4712,0,14,"Wednesday"
"2018-10-17 15:00:00",5234,0,15,"Wednesday"
"2018-10-17 16:00:00",5963,0,16,"Wednesday"
"2018-10-17 17:00:00",5497,0,17,"Wednesday"
"2018-10-17 18:00:00",4127,0,18,"Wednesday"
"2018-10-17 19:00:00",3037,0,19,"Wednesday"
"2018-10-17 20:00:00",2622,0,20,"Wednesday"
"2018-10-17 21:00:00",2437,0,21,"Wednesday"
"2018-10-17 22:00:00",1861,0,22,"Wednesday"
"2018-10-17 23:00:00",1092,0,23,"Wednesday"
"2018-10-18 00:00:00",569,0,0,"Thursday"
"2018-10-18 01:00:00",333,0,1,"Thursday"
"2018-10-18 02:00:00",245,0,2,"Thursday"
"2018-10-18 03:00:00",333,0,3,"Thursday"
"2018-10-18 04:00:00",797,0,4,"Thursday"
"2018-10-18 05:00:00",2632,0,5,"Thursday"
"2018-10-18 06:00:00",5119,0,6,"Thursday"
"2018-10-18 07:00:00",5723,0,7,"Thursday"
"2018-10-18 08:00:00",5335,0,8,"Thursday"
"2018-10-18 09:00:00",4775,0,9,"Thursday"
"2018-10-18 10:00:00",4375,0,10,"Thursday"
"2018-10-18 11:00:00",4407,0,11,"Thursday"
"2018-10-18 12:00:00",4517,0,12,"Thursday"
"2018-10-18 13:00:00",4608,0,13,"Thursday"
"2018-10-18 14:00:00",4823,0,14,"Thursday"
"2018-10-18 15:00:00",5296,0,15,"Thursday"
"2018-10-18 16:00:00",5953,0,16,"Thursday"
"2018-10-18 17:00:00",5512,0,17,"Thursday"
"2018-10-18 18:00:00",4245,0,18,"Thursday"
"2018-10-18 19:00:00",3150,0,19,"Thursday"
"2018-10-18 20:00:00",2751,0,20,"Thursday"
"2018-10-18 21:00:00",2634,0,21,"Thursday"
"2018-10-18 22:00:00",2115,0,22,"Thursday"
"2018-10-18 23:00:00",1296,0,23,"Thursday"
"2018-10-19 00:00:00",711,0,0,"Friday"
"2018-10-19 01:00:00",412,0,1,"Friday"
"2018-10-19 02:00:00",301,0,2,"Friday"
"2018-10-19 03:00:00",373,0,3,"Friday"
"2018-10-19 04:00:00",784,0,4,"Friday"
"2018-10-19 05:00:00",2358,0,5,"Friday"
"2018-10-19 06:00:00",4469,0,6,"Friday"
"2018-10-19 07:00:00",5346,0,7,"Friday"
"2018-10-19 08:00:00",5052,0,8,"Friday"
"2018-10-19 09:00:00",4572,0,9,"Friday"
"2018-10-19 10:00:00",4351,0,10,"Friday"
"2018-10-19 11:00:00",4419,0,11,"Friday"
"2018-10-19 12:00:00",4557,0,12,"Friday"
"2018-10-19 13:00:00",4690,0,13,"Friday"
"2018-10-19 14:00:00",4885,0,14,"Friday"
"2018-10-19 15:00:00",5236,0,15,"Friday"
"2018-10-19 16:00:00",5597,0,16,"Friday"
"2018-10-19 17:00:00",5134,0,17,"Friday"
"2018-10-19 18:00:00",4189,0,18,"Friday"
"2018-10-19 19:00:00",3278,0,19,"Friday"
"2018-10-19 20:00:00",2877,0,20,"Friday"
"2018-10-19 21:00:00",2813,0,21,"Friday"
"2018-10-19 22:00:00",2585,0,22,"Friday"
"2018-10-19 23:00:00",1938,0,23,"Friday"
"2018-10-20 00:00:00",1169,0,0,"Saturday"
"2018-10-20 01:00:00",702,0,1,"Saturday"
"2018-10-20 02:00:00",442,0,2,"Saturday"
"2018-10-20 03:00:00",351,0,3,"Saturday"
"2018-10-20 04:00:00",389,0,4,"Saturday"
"2018-10-20 05:00:00",624,0,5,"Saturday"
"2018-10-20 06:00:00",1022,0,6,"Saturday"
"2018-10-20 07:00:00",1532,0,7,"Saturday"
"2018-10-20 08:00:00",2167,0,8,"Saturday"
"2018-10-20 09:00:00",2909,0,9,"Saturday"
"2018-10-20 10:00:00",3537,0,10,"Saturday"
"2018-10-20 11:00:00",3981,0,11,"Saturday"
"2018-10-20 12:00:00",4259,0,12,"Saturday"
"2018-10-20 13:00:00",4355,0,13,"Saturday"
"2018-10-20 14:00:00",4350,0,14,"Saturday"
"2018-10-20 15:00:00",4298,0,15,"Saturday"
"2018-10-20 16:00:00",4250,0,16,"Saturday"
"2018-10-20 17:00:00",4057,0,17,"Saturday"
"2018-10-20 18:00:00",3773,0,18,"Saturday"
"2018-10-20 19:00:00",3248,0,19,"Saturday"
"2018-10-20 20:00:00",3000,0,20,"Saturday"
"2018-10-20 21:00:00",2911,0,21,"Saturday"
"2018-10-20 22:00:00",2599,0,22,"Saturday"
"2018-10-20 23:00:00",1994,0,23,"Saturday"
"2018-10-21 00:00:00",1280,0,0,"Sunday"
"2018-10-21 01:00:00",760,0,1,"Sunday"
"2018-10-21 02:00:00",460,0,2,"Sunday"
"2018-10-21 03:00:00",302,0,3,"Sunday"
"2018-10-21 04:00:00",306,0,4,"Sunday"
"2018-10-21 05:00:00",429,0,5,"Sunday"
"2018-10-21 06:00:00",767,0,6,"Sunday"
"2018-10-21 07:00:00",1211,0,7,"Sunday"
"2018-10-21 08:00:00",1794,0,8,"Sunday"
"2018-10-21 09:00:00",2533,0,9,"Sunday"
"2018-10-21 10:00:00",3222,0,10,"Sunday"
"2018-10-21 11:00:00",3733,0,11,"Sunday"
"2018-10-21 12:00:00",4061,0,12,"Sunday"
"2018-10-21 13:00:00",4201,0,13,"Sunday"
"2018-10-21 14:00:00",4221,0,14,"Sunday"
"2018-10-21 15:00:00",4192,0,15,"Sunday"
"2018-10-21 16:00:00",4136,0,16,"Sunday"
"2018-10-21 17:00:00",3931,0,17,"Sunday"
"2018-10-21 18:00:00",3455,0,18,"Sunday"
"2018-10-21 19:00:00",2925,0,19,"Sunday"
"2018-10-21 20:00:00",2568,0,20,"Sunday"
"2018-10-21 21:00:00",2201,0,21,"Sunday"
